#Step <PairEne> <EwaldEne> <TotalEnergy> <Pzz> <|Rg|> <|Rgx|> <|Rgy|> <|Rgz|> <ete> beadtrans comtrans pivot crankshaft reptate
100 -nan -nan -nan 0 -nan -nan -nan -nan -nan 0.6737 -nan 0 -nan -nan
4900 7.58949 74.98019 82.56968 0.000866739 7.268 4.457 4.055 4.063 19.71 0.6312 -nan 0.2311 -nan -nan
5000 7.543056 75.20466 82.74772 0.000868155 7.267 4.457 4.056 4.062 19.71 0.6309 -nan 0.2381 -nan -nan
5100 7.488832 75.41597 82.9048 0.000868155 7.267 4.458 4.056 4.061 19.7 0.6322 -nan 0.2361 -nan -nan
5200 7.447264 75.48568 82.93294 0.000868155 7.267 4.457 4.056 4.062 19.7 0.6331 -nan 0.2405 -nan -nan
5300 7.417552 75.62846 83.04602 0.000868155 7.268 4.457 4.056 4.063 19.7 0.6315 -nan 0.2365 -nan -nan
5400 7.386615 75.74402 83.13063 0.000868155 7.268 4.456 4.057 4.064 19.69 0.6327 -nan 0.2377 -nan -nan
5500 7.353305 75.77394 83.12725 0.000868155 7.269 4.456 4.057 4.065 19.69 0.6332 -nan 0.2348 -nan -nan
5600 7.315343 75.84705 83.1624 0.000868155 7.269 4.455 4.057 4.066 19.69 0.6319 -nan 0.2362 -nan -nan
5700 7.281203 75.89741 83.17862 0.000868155 7.27 4.455 4.057 4.068 19.69 0.6329 -nan 0.2385 -nan -nan
5800 7.250677 76.06025 83.31093 0.000868155 7.27 4.455 4.057 4.069 19.69 0.6311 -nan 0.2377 -nan -nan
5900 7.189552 76.19866 83.38821 0.000868155 7.271 4.454 4.057 4.07 19.69 0.6327 -nan 0.2344 -nan -nan
6000 7.202646 76.12082 83.32347 0.000952983 7.271 4.454 4.057 4.071 19.69 0.6339 -nan 0.231 -nan -nan
6100 7.236626 75.92781 83.16444 0.000952983 7.272 4.454 4.057 4.073 19.69 0.6338 -nan 0.2289 -nan -nan
6200 7.208609 75.85278 83.06139 0.000952983 7.273 4.454 4.056 4.075 19.69 0.6346 -nan 0.2279 -nan -nan
6300 7.188781 75.90304 83.09182 0.000952983 7.274 4.454 4.056 4.077 19.69 0.635 -nan 0.2248 -nan -nan
6400 7.233161 75.9194 83.15256 0.000952983 7.275 4.454 4.056 4.079 19.7 0.6361 -nan 0.2277 -nan -nan
