#Step <PairEne> <EwaldEne> <ExtPotEne> <TotalEnergy> NoOfMol <Density> <Pzz> <|Rg|> <|Rgx|> <|Rgy|> <|Rgz|> <ete> beadtrans comtrans pivot crankshaft reptate insert delete
100 -nan -nan -nan -nan 36 -nan 0 -nan -nan -nan -nan -nan 0.8395 -nan 1 -nan -nan -nan -nan
3700 1.346145e-16 2.296026 -2.244484 0.051542 36 0.0003776 7.49952e-05 0.6848 0.2687 0.619 0.1167 1.432 0.776 1 0.8889 -nan 1 0.0163 0.01695
3800 1.309763e-16 2.167201 -2.246321 -0.07912002 36 0.0003775 7.49952e-05 0.6755 0.265 0.6106 0.1151 1.412 0.774 1 0.8889 -nan 1 0.01587 0.01648
3900 1.275296e-16 2.084167 -2.247591 -0.1634244 36 0.0003775 7.49952e-05 0.6666 0.2615 0.6025 0.1136 1.393 0.7733 1 0.8889 -nan 1 0.01538 0.01613
4000 1.242596e-16 2.007576 -2.249916 -0.2423399 36 0.0003774 5.62464e-05 0.658 0.2581 0.5947 0.1121 1.375 0.7708 1 0.8889 -nan 1 0.01508 0.01554
4100 1.211531e-16 1.979129 -2.252125 -0.2729957 36 0.0003773 5.62464e-05 0.6497 0.2549 0.5873 0.1107 1.358 0.77 1 0.8889 -nan 1 0.01485 0.01485
4200 1.181981e-16 1.990365 -2.23579 -0.2454247 36 0.0003773 5.62464e-05 0.6417 0.2518 0.5801 0.1094 1.341 0.7691 1 0.8889 -nan 1 0.01415 0.01463
4300 1.153839e-16 1.981753 -2.23823 -0.2564764 36 0.0003772 5.62464e-05 0.634 0.2488 0.5731 0.1081 1.325 0.7692 1 0.8889 -nan 1 0.01852 0.0186
4400 1.127005e-16 1.972877 -2.240556 -0.2676797 36 0.0003772 5.62464e-05 0.6266 0.2458 0.5664 0.1068 1.31 0.7692 1 0.8889 -nan 1 0.01818 0.01835
4500 1.101392e-16 1.960433 -2.242777 -0.282344 36 0.0003771 5.62464e-05 0.6195 0.243 0.5599 0.1056 1.295 0.7707 1 0.8889 -nan 1 0.0177 0.01778
4600 1.076916e-16 1.938846 -2.242486 -0.30364 36 0.0003771 5.62464e-05 0.6125 0.2403 0.5537 0.1044 1.28 0.7707 1 0.8889 -nan 1 0.01724 0.01739
4700 1.053505e-16 1.954167 -2.244568 -0.2904005 36 0.000377 5.62464e-05 0.6058 0.2377 0.5476 0.1033 1.266 0.7737 1 0.8889 -nan 1 0.01681 0.01709
4800 1.03109e-16 2.00798 -2.241162 -0.2331822 36 0.000377 5.62464e-05 0.5994 0.2351 0.5418 0.1022 1.253 0.7717 1 0.8889 -nan 1 0.0166 0.01667
4900 1.009609e-16 2.017398 -2.236934 -0.2195359 36 0.000377 5.62464e-05 0.5931 0.2327 0.5361 0.1011 1.24 0.7726 1 0.8889 -nan 1 0.02016 0.02016
5000 9.890048e-17 1.97882 -2.238997 -0.260177 36 0.0003769 4.6068e-05 0.587 0.2303 0.5306 0.1001 1.227 0.7728 1 0.8889 -nan 1 0.01969 0.01992
5100 9.692247e-17 1.939723 -2.232684 -0.2929616 36 0.0003769 4.6068e-05 0.5811 0.228 0.5253 0.09905 1.215 0.7735 1 0.8889 -nan 1 0.01938 0.01976
5200 9.502203e-17 1.908088 -2.23467 -0.3265821 36 0.0003768 4.6068e-05 0.5754 0.2257 0.5201 0.09807 1.203 0.7704 1 0.8889 -nan 1 0.01894 0.01946
5300 9.319468e-17 1.805916 -2.233965 -0.4280492 36 0.0003768 4.6068e-05 0.5698 0.2236 0.5151 0.09712 1.191 0.7687 1 0.8889 -nan 1 0.01859 0.01931
5400 9.143629e-17 1.706201 -2.231907 -0.5257069 36 0.0003768 4.6068e-05 0.5644 0.2214 0.5102 0.0962 1.18 0.7684 1 0.8889 -nan 1 0.01832 0.01908
5500 8.974303e-17 1.710608 -2.233877 -0.5232694 36 0.0003767 4.6068e-05 0.5592 0.2194 0.5054 0.09531 1.169 0.7687 1 0.8889 -nan 1 0.01805 0.01873
5600 8.811134e-17 1.720049 -2.235417 -0.5153688 36 0.0003767 4.6068e-05 0.5541 0.2174 0.5008 0.09444 1.158 0.7683 1 0.8889 -nan 1 0.01761 0.01838
5700 8.653792e-17 1.738838 -2.237253 -0.4984147 36 0.0003767 4.6068e-05 0.5491 0.2154 0.4963 0.09359 1.148 0.7687 1 0.8889 -nan 1 0.01718 0.01812
5800 8.501971e-17 1.770488 -2.23863 -0.4681426 36 0.0003766 4.6068e-05 0.5443 0.2135 0.492 0.09277 1.138 0.7694 1 0.8889 -nan 1 0.01689 0.01748
5900 8.355385e-17 1.814417 -2.240032 -0.4256145 36 0.0003766 4.6068e-05 0.5395 0.2117 0.4877 0.09196 1.128 0.7688 1 0.8889 -nan 1 0.01667 0.01718
6000 8.213769e-17 1.837454 -2.241386 -0.4039318 36 0.0003766 5.04801e-05 0.535 0.2099 0.4835 0.09118 1.118 0.7694 1 0.8889 -nan 1 0.01639 0.01661
6100 8.076873e-17 1.814813 -2.242686 -0.4278731 36 0.0003766 5.04801e-05 0.5305 0.2081 0.4795 0.09042 1.109 0.7694 1 0.8889 -nan 1 0.01603 0.01639
6200 7.944465e-17 1.771322 -2.24385 -0.4725276 36 0.0003765 5.04801e-05 0.5261 0.2064 0.4756 0.08967 1.1 0.7688 1 0.8889 -nan 1 0.01572 0.01608
6300 7.816328e-17 1.717766 -2.245372 -0.5276061 36 0.0003765 5.04801e-05 0.5219 0.2047 0.4717 0.08895 1.091 0.7676 1 0.8889 -nan 1 0.01558 0.01592
6400 7.69226e-17 1.687061 -2.244586 -0.5575243 36 0.0003765 5.04801e-05 0.5177 0.2031 0.4679 0.08824 1.082 0.7668 1 0.8889 -nan 1 0.01529 0.01543
6500 7.572068e-17 1.683039 -2.243611 -0.5605718 36 0.0003765 5.04801e-05 0.5136 0.2015 0.4643 0.08755 1.074 0.7655 1 0.8889 -nan 1 0.01515 0.01511
6600 7.455575e-17 1.679565 -2.244886 -0.5653207 36 0.0003764 5.04801e-05 0.5097 0.2 0.4607 0.08687 1.065 0.7649 1 0.8889 -nan 1 0.01497 0.01479
6700 7.342611e-17 1.636591 -2.24619 -0.6095995 36 0.0003764 5.04801e-05 0.5058 0.1984 0.4572 0.08621 1.057 0.7644 1 0.8889 -nan 1 0.01479 0.01441
6800 7.23302e-17 1.659968 -2.24602 -0.5860513 36 0.0003764 5.04801e-05 0.502 0.1969 0.4538 0.08556 1.049 0.7644 1 0.8889 -nan 1 0.01458 0.01416
6900 7.126652e-17 1.603433 -2.245538 -0.642105 36 0.0003764 5.04801e-05 0.4983 0.1955 0.4504 0.08493 1.042 0.764 1 0.8889 -nan 1 0.01441 0.01385
7000 7.023367e-17 1.575753 -2.244888 -0.669135 36 0.0003764 9.65369e-05 0.4947 0.1941 0.4471 0.08431 1.034 0.7639 1 0.8889 -nan 1 0.01412 0.01359
7100 6.923034e-17 1.523878 -2.228658 -0.7047802 36 0.0003763 9.65369e-05 0.4911 0.1927 0.4439 0.08371 1.027 0.7619 1 0.8889 -nan 1 0.01385 0.0134
7200 6.825526e-17 1.483019 -2.230193 -0.7471741 36 0.0003763 9.65369e-05 0.4877 0.1913 0.4408 0.08312 1.019 0.7607 1 0.8889 -nan 1 0.01362 0.01312
7300 6.730727e-17 1.472423 -2.23164 -0.7592174 36 0.0003763 9.65369e-05 0.4843 0.19 0.4377 0.08254 1.012 0.7605 1 0.8889 -nan 1 0.01355 0.01295
